# Network I/O across all workers for the uk-2007 graph for different algorithms.
X	PageRank	HCC	SSSP
1	72.9	48.4718383103609	0.000000014901161
2	72.9	46.1877245530486	0.000000357627869
3	72.9	47.2044904604554	0.000003911554813
4	72.9	46.5405067354441	0.014553047716618
5	72.9	46.8509875461459	1.14120222628117
6	72.9	32.5956885069609	6.68394085019827
7	72.9	15.0125979632139	22.645738966763
8	72.9	2.73237445950508	12.6762842461467
9	72.9	0.674396619200706	4.01259982585907
10	72.9	0.205661199986935	0.770876035094261
11	72.9	0.064103253185749	0.279021814465523
12	72.9	0.021575301885605	0.096804291009903
13	72.9	0.007383592426777	0.019756816327572
14	72.9	0.003471702337265	0.005060039460659
15	72.9	0.002176187932491	0.002904951572418
